Enabling Source,Enabling Component,Enabling Component Description,Dependent Component,Dependent Component Description,Dependent Source,Linkage mandated by what US Code or OMB policy?,Enabling Component URL,Dependent Component URL,Enabling Source Agency,Dependent Source Agency,Notes and keywords,Keywords Tab Items Found,Enabling Component Responsible Office,Dependent Component Responsible Office,Edits,Similarity,Enabling URL Status,Dependent URL Status
USDA IT Directives,,,,,,,https://www.usda.gov/sites/default/files/documents/USDA DM 3510-000.pdf,,,,,,USDA,,,,,
USDA IT Directives,,,,,,,https://www.usda.gov/sites/default/files/documents/USDA DM 3510-001.pdf,,,,,,USDA,,,,,
USDA IT Directives,USDA DM 3530-002 USDA IBM/IBM Compatible Mainframe Security (07/15/04),,,,,,https://www.usda.gov/sites/default/files/documents/USDA DM 3530-002.pdf,,,,,,USDA,,,,,
USDA IT Directives,USDA DM 3530-004 Firewall Technical Security Standards (02/17/05),,,,,,https://www.usda.gov/sites/default/files/documents/USDA DM 3530-004.pdf,,,,,,USDA,,,,,
USDA IT Directives,"USDA DM 3545-002 Chapter 9, Pt. 2 USDA Information Systems Security Program (03/21/06)",,,,,,https://www.usda.gov/sites/default/files/documents/USDA DM 3545-002[1].pdf,,,,,,USDA,,,,,
USDA IT Directives,DN3420-001 Implementation of Requirements in Authoritative References (04/12/22),,,,,,https://www.usda.gov/sites/default/files/documents/dn-3420-001.pdf,,,,,,USDA,,,,,
USDA IT Directives,DR3050-002 Private Express Statute Violations (12/21/83),,,,,,https://www.usda.gov/sites/default/files/documents/DR3050-002.pdf,,,,,,USDA,,,,,
USDA IT Directives,DR3080-001 Records Management (08/16/16),,,,,,https://www.usda.gov/sites/default/files/documents/DR%203080-001%20Records%20Management.pdf,,,,,,USDA,,,,,
USDA IT Directives,DR3300-001-E Video Teleconferencing Facilities and Systems (01/04/23),,,,,,https://www.usda.gov/sites/default/files/documents/dr-3300-001-e_video-teleconferencing.pdf,,,,,,USDA,,,,,
USDA IT Directives,DR3300-001-M Internet Protocol (IP) Addresses (03/23/99),,,,,,https://www.usda.gov/directives/sites/default/files/documents/DR3300-1-M.pdf,,,,,,USDA,,,,,
